Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Latitude,Longitude
Albania,5.25548172,9.562287331,0.70188278,69.15000153,0.827452719,41.153332,20.168331
Algeria,5.217017651,9.303516388,0.840710282,66.59999847,0.558486938,28.033886,1.659626
Argentina,5.908278942,9.955421448,0.882304549,67.19999695,0.819479346,-38.416097,-63.61667199999999
Armenia,5.300568581,9.50048542,0.762044132,67.65000153,0.795169771,40.069099,45.038189
Australia,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,-25.274398,133.775136
Austria,7.079640865,10.89209175,0.862975955,71.15000153,0.794845939,47.516231,14.550072
Benin,4.493431091,8.140853882,0.435524195,56.09999847,0.724061847,9.30769,2.315834
Bolivia,5.56862402,9.007940292,0.797810495,63.59999847,0.861731231,-16.290154,-63.58865299999999
Bosnia and Herzegovina,5.748823166,9.627624512,0.859953582,67.30000305,0.758979201,43.915886,17.679076
Brazil,6.009953499,9.593187332,0.814328671,65.75,0.791507721,-14.235004,-51.92528
Bulgaria,5.421693325,10.05412579,0.883621037,66.5,0.841188073,42.733883,25.48583
Burkina Faso,4.635508537,7.713550568,0.6575436,55.65000153,0.64410162,12.238333,-1.561593
Cambodia,4.555141449,8.348700523,0.712757587,61.90000153,0.965093315,12.565679,104.990963
Cameroon,4.962747574,8.215063095,0.694936395,55.84999847,0.715301752,7.369721999999999,12.354722
Canada,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,56.130366,-106.346771
Chile,6.435630798,10.16244316,0.891460538,70.30000305,0.80341506,-35.675147,-71.542969
China,5.862864494,9.776108742,0.85600698,68.75,0.874755502,35.86166,104.195397
Colombia,5.289958477,9.587848663,0.792830646,69.34999847,0.774668455,4.570868,-74.297333
Congo (Brazzaville),4.920531273,8.103173256,0.567651093,56.84999847,0.737661481,-0.228021,15.827659
Costa Rica,6.408448219,9.938294411,0.87605232,70.0,0.886652231,9.748916999999999,-83.753428
Croatia,6.286790371,10.30044937,0.917741537,68.94999695,0.841837883,45.1,15.2
Czechia,6.942496777,10.58128357,0.950226784,69.05000305,0.890521467,49.81749199999999,15.472962
Denmark,7.698747158,10.97297955,0.944926739,71.25,0.933439255,56.26392,9.501785
Dominican Republic,6.030537128,9.834504128,0.857106984,64.40000153,0.859358311,18.735693,-70.162651
Ecuador,5.43487215,9.26595211,0.785531878,69.0,0.821025372,-1.831239,-78.18340599999999
Egypt,4.025747776,9.40212822,0.717022359,63.5,0.704442561,26.820553,30.802498
El Salvador,6.431447029,9.05728817,0.796106219,65.59999847,0.914903879,13.794185,-88.89653
Estonia,6.553915501,10.55838966,0.945865035,69.65000153,0.925818324,58.595272,25.013607
Finland,7.794377804,10.7945528,0.97028929,71.15000153,0.96318984,61.92410999999999,25.748151
France,6.656206608,10.71656609,0.914597511,72.30000305,0.836917698,46.227638,2.213749
Gabon,5.075422287,9.559962273,0.75387162,58.25,0.699056685,-0.803689,11.609444
Georgia,4.911273479,9.648091316,0.670689464,64.94999695,0.777061343,42.315407,43.35689199999999
Germany,6.754523754,10.87341213,0.86758256,71.30000305,0.778439999,51.165691,10.451526
Ghana,4.377950668,8.621863365,0.63272965,58.75,0.730264723,7.946527,-1.023194
Greece,6.104214191,10.26983833,0.85032618,71.15000153,0.574029803,39.074208,21.824312
Guinea,4.944539547,7.913556576,0.627239227,54.20000076,0.676289976,9.945587,-9.696645
Honduras,6.113636017,8.57476902,0.805980861,63.84999847,0.835045755,15.199999,-86.241905
Hungary,6.226647854,10.413867,0.947892129,67.5,0.727489948,47.162494,19.503304
Iceland,7.564624786,10.89974785,0.97985822,72.05000305,0.923243344,64.963051,-19.020835
India,3.558253765,8.807804108,0.569732904,60.90000153,0.866110921,20.593684,78.96288
Indonesia,5.43317318,9.367486954,0.816924691,63.04999924,0.884855866,-0.789275,113.921327
Iran,4.78781414,9.462799072,0.771469533,66.59999847,0.609310269,32.427908,53.688046
Iraq,5.093667984,9.109132767,0.730212867,63.65000153,0.594466746,33.223191,43.679291
Ireland,6.827651978,11.54503345,0.849838138,71.30000305,0.846344113,53.1423672,-7.692053599999999
Israel,7.577528,10.61664009,0.91658324,72.69999695,0.819777012,31.046051,34.851612
Italy,6.4667449,10.63541317,0.885533631,72.05000305,0.702845216,41.87194,12.56738
Ivory Coast,5.055806637,8.588439941,0.554224849,55.95000076,0.717105269,7.539988999999999,-5.547079999999999
Jamaica,5.813733578,9.115969658,0.857367575,66.59999847,0.730657279,18.109581,-77.297508
Japan,6.091324806,10.6239481,0.895737708,74.34999847,0.801350355,36.204824,138.252924
Jordan,3.90914917,9.203712463,0.702918172,67.59999847,0.77311343,30.585164,36.238414
